Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP_VY2_10X5X14-7p5_VIS,1,Vishay VY2 100nf X2,
C2,CP_Radial_D5.0mm_P2.00mm,1,"100µF, Polymer",
"D1, D3, D5, D7",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N4448,
"D2, D4, D6, D8",D_DO-41_SOD81_P10.16mm_Horizontal,4,1N4739A,
"F1, F2, F3, F4, F5",Fuseholder_Clip-5x20mm_Schurter_CQM_Inline_P20.60x5.00mm_D1.00mm_Horizontal,5,Fuse,
FL1,Choke_Schaffner_RN102-04-14.0x14.0mm,1,Choke_Schaffner_RN102-0.3-02-22M,
"J1, J2, J3, J4, J5",TerminalBlock_WAGO_236-202_1x02_P7.50mm_45Degree,5,Screw_Terminal_01x02,
J6,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"K1, K2, K3, K4",Relay_SPST_RAYEX-L90AS,4,G2RL-1A-E,
PS1,Converter_ACDC_Hi-Link_HLK-5Mxx,1,HLK-12M05A,
"Q1, Q2, Q3, Q4",TO-92_Inline_Wide,4,2N3904,
"R1, R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1kΩ,
RV1,CAP_VY2_10X5X14-7p5_VIS,1,Varistor,
U2,XIAO-ESP32C6-DIP,1,XIAO-ESP32-S3-SMD,
